question,option1,option2,option3,option4,correctAnswerIndex,explanation
"Which of the following statements is/are true of the Fundamental Duties of an Indian citizen? 1. A legislative process has been provided to enforce these duties. 2. They are correlative to legal duties.","1 only","2 only","Both 1 & 2","Neither 1 nor 2",3,"While FDs can be enforced by legislative measures, the Constitution explicitly does not enforce them via legal provisions. Statement 2 is also not strictly accurate. Neither statement is fully correct as framed."
"In the context of India, which one of the following is the correct relationship between Rights and Duties?","Rights are correlative with Duties","Rights are personal and hence independent of society and Duties","Rights, not Duties, are important for the advancement of the personality of the citizen","Duties, not Rights, are important for the stability of the State",0,"Rights and duties are correlative and inseparable, hence A is the answer."
"Which principle among the following was added to the Directive Principles of State Policy by the 42nd Amendment to the Constitution?","Equal pay for equal work for both men and women","Participation of workers in the management of industries","Right to work, education and public assistance for workers","Securing living wage and human conditions of work for workers",0,"The 42nd Amendment Act of 1976 added four new Directive Principles including equal pay for equal work for both men and women (Article 39)."
"Consider the following statements: With reference to the Directive Principles of the Constitution of India, the Directive Principles of State Policy constitute limitations upon: 1. legislative function 2. executive function. Which of the above statements is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",3,"The DPSP denotes ideals that the State should keep in mind while formulating policies and enacting laws. These are constitutional instructions or recommendations, not limitations. Both statements are wrong."
"Consider the following statements: 1. The Parliament of India can place a particular law in the Ninth Schedule of the Constitution of India. 2. The validity of a law placed in the Ninth Schedule cannot be examined by any court and no judgement can be made on it. Which of the statements given above is/are correct?","Both 1 and 2","2 only","Neither 1 nor 2","1 only",3,"Statement 1 is correct. The 1st Amendment (1951) inserted Articles 31A, 31B and the Ninth Schedule. In I.R. Coelho case (2007), the Supreme Court ruled that there cannot be any blanket immunity from judicial review of laws in the Ninth Schedule. So statement 2 is wrong. Only 1 is correct."
"In the federation established by The Government on India Act of 1935, Residuary Powers were given to the:","Federal Legislature","Governor General","Provincial Legislature","Provincial Governors",1,"In the federation established by The Government of India Act of 1935, Residuary Powers were given to the Governor General."
"Which one of the following reflects the nicest, appropriate relationship between law and liberty?","If there are more laws, there is less liberty","If there are no laws, there is no liberty","If there is liberty, laws have to be made by the people","If laws are changed too often, liberty is in danger",1,"Concept of Positive Liberty: if there are no laws, there is no liberty. This option reflects both 'appropriate' and 'nicest' relationship between law and liberty."
"Which of the following are regarded as the main features of the 'Rule of Law'? 1. Limitation of powers 2. Equality before law 3. People's responsibility to the Government 4. Liberty and civil rights","1 & 3 only","2 & 4 only","1, 2 & 4 only","1, 2, 3 & 4",2,"Rule of Law implies all individuals are subjected to the same law (equality before law), limitation of powers, and protection of liberty and civil rights. Statement 3 is not a feature of Rule of Law."
"Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty. Which of the following in the Constitution of India correctly and appropriately imply the above statement?","Article 14 and the provisions under the 42nd Amendment to the Constitution","Article 17 and the Directive Principles of State Policy in Part IV","Article 21 and the freedoms guaranteed in Part III","Article 24 and the provisions under the 44th Amendment to the Constitution",2,"The Supreme Court ruled that 'the right to privacy is protected as an intrinsic part of the right to life and personal liberty under Article 21 and as a part of the freedoms guaranteed by Part III of the Constitution'."
"Consider the following statements: 1. The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review. 2. The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of the judiciary. Which of the statements given above is/are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",1,"Statement 1 is wrong — placing election of the PM beyond judicial review is incorrect. The 99th Amendment replaced the collegium system with NJAC. In 2015, SC held the 99th Amendment 'ultra vires'. So only Statement 2 is right."
"Consider the following statements regarding impeachment of Supreme Court judges: 1. The motion to impeach a judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968. 2. The Constitution of India defines and gives details of what constitutes 'incapacity and proved misbehaviour' of the judges of the Supreme Court of India. 3. The details of the process of the impeachment of the judges of the Supreme Court of India are given in the Judges (Inquiry) Act, 1968. 4. If the motion of the impeachment of a judge is taken up for voting, the law requires the motion to be backed by each house and supported by a majority of total membership and not less than two-thirds of members present and voting. Which of the statements given above is/are correct?","1 and 2","3 only","3 and 4 only","1, 3 and 4",2,"The Speaker/Chairman may admit or refuse the motion. The Constitution does not define 'incapacity and proved misbehaviour'. Statements 3 and 4 are correct."
"Under which schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?","Third Schedule","Fifth Schedule","Ninth Schedule","Twelfth Schedule",1,"The Fifth Schedule deals with administration and control of scheduled areas. The Governor can make regulations to prohibit or restrict the transfer of land by or among members of the scheduled tribes."
"With reference to the Constitution of India, prohibition or limitations contained in ordinary laws cannot act as limitations on the constitutional powers under Article 142. It could mean which one of the following?","The decisions taken by the Election Commission of India while discharging its duties cannot be challenged in any court of law","The Supreme Court of India is not constrained in the exercise of its powers by laws made by the parliament","In the event of grave financial crises the President can declare Financial Emergency without the counsel from the cabinet","State Legislatures cannot make laws on certain matters without the concurrence of the Union legislature",1,"Articles 124 to 147 in Part V deal with the Supreme Court. Article 142 is within this range, so it relates to the Supreme Court not being constrained by ordinary laws."
"Consider the following statements about the Constitution of India: 1. No High Court shall have the jurisdiction to declare any central law to be constitutionally invalid. 2. An amendment to the Constitution of India cannot be called into question by the Supreme Court of India. Which of the statements given above is/are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",3,"The Constitution confers the power of judicial review on both the Supreme Court and High Courts, so Statement 1 is wrong. In I.R. Coelho (2007), the Supreme Court held no blanket immunity from judicial review. Statement 2 is also wrong."
"A parliamentary system of government is one in which:","All political parties in the parliament are represented in the government","The government is responsible to the parliament and can be removed by it","The government is elected by the people and can be removed by them","The government is chosen by the parliament but cannot be removed by it before completion of a fixed term",1,"Article 75: The ministers are collectively responsible to Parliament in general and to the Lok Sabha in particular. The Lok Sabha can remove the ministry by passing a vote of no confidence."
"Which part of the Constitution of India declares the ideal of Welfare state?","Directive Principles of State Policy","Fundamental Rights","Preamble","Seventh Schedule",0,"The Directive Principles of State Policy (DPSP) provides guidelines to the government for establishing a welfare state."
"Consider the following statements: 1. The Constitution of India defines its 'basic structure' in terms of federalism, secularism, fundamental rights and democracy. 2. The Constitution of India provides for 'judicial review' to safeguard the 'citizens' liberties and to preserve the ideals on which the constitution is based. Which of the statements given above is/are correct?","1 only","2 only","Both 1 & 2","Neither 1 nor 2",1,"The concept of 'basic structure' came from the Kesavananda Bharati case (1973) — it is not defined in the Constitution itself, so Statement 1 is incorrect. Judicial Review is an integral part of the Constitution. Statement 2 is correct."
"One common agreement between Gandhism and Marxism is:","The final goal of a stateless society","Class struggle","Abolition of private property","Economic determinism",0,"Both Gandhi and Marx aimed for a stateless society. Marxism involves a classless stateless society. Gandhism also envisions a self-regulating stateless society."
"The Preamble to the Constitution of India is:","A part of the Constitution but has no legal effect","Not a part of the Constitution and has no legal effect either","A part of the Constitution and has the same legal effect as any other part","A part of the Constitution but has no legal effect independently of other parts",2,"Keshavananda Bharati vs State of Kerala (1973): Supreme Court ruled the Preamble is a part of the Indian Constitution. The combined effect of the judgments — the Preamble is part of the Constitution, but is not enforceable in a court of law."
"With reference to the provisions contained in Part IV of the Constitution of India, which of the following statements is/are correct? 1. They shall be enforceable by courts. 2. They shall not be enforceable by any court. 3. The principles laid down in this part are to influence the making of laws by the state.","1 only","2 only","1 & 3 only","2 & 3 only",3,"Article 37 states that Provisions of Part-IV shall not be enforceable by any court (Statement 2 correct). Article 37 also states it shall be the duty of the state to apply these principles in making laws (Statement 3 correct)."
"Other than the Fundamental Rights, which of the following parts of the Constitution of India reflect/reflects the principles and provisions of the Universal Declaration of Human Rights (1948)? 1. Preamble 2. Directive Principles of State Policy 3. Fundamental Duties","1 & 2 only","2 only","1 & 3 only","1, 2 & 3",3,"UDHR mentions dignity — Preamble speaks of equality and dignity. UDHR mentions Right to Work — similar in DPSP. UDHR mentions duties — inserted in Constitution by 42nd Amendment. All three reflect UDHR principles."
"Under the Indian Constitution, concentration of wealth violates:","The right to equality","The Directive Principles of State Policy","The Right to freedom","The Concept of Welfare",1,"Article 39(b) says the state shall direct its policy towards ensuring that the ownership and control of material resources are distributed to best subserve the common good and the economic system does not result in concentration of wealth."
"What was the exact constitutional status of India on 26th January, 1950?","A democratic Republic","A Sovereign Democratic Republic","A Sovereign Secular Democratic Republic","A Sovereign Socialist Secular Democratic Republic",1,"The Preamble was amended in 1976 by the 42nd Constitutional Amendment Act which added 'Socialist', 'Secular' and 'Integrity'. On 26th January 1950, India was a Sovereign Democratic Republic."
"Which one of the following best defines the term 'State'?","A community of persons permanently occupying a definite territory independent of external control and possessing an organized government","A politically organized people of a definite territory and possessing an authority to govern them, maintain law and order, protect their natural rights and safeguard their means of sustenance","A number of persons who have been living in a definite territory for a very long time with their own culture, tradition and government","A society permanently living in a definite area with a central authority, an executive responsible to the central authority and an independent judiciary",0,"As per NCERT, it refers to a political institution that represents a sovereign people who occupy a definite territory. Population, territory, government, and sovereignty are four essential elements of state."
"Consider the following statements about citizenship in India: 1. There is only one citizenship and one domicile. 2. A citizen by birth only can become the Head of State. 3. A foreigner once granted citizenship cannot be deprived of it under any circumstances. Which of the statements given above are correct?","1 only","2 only","1 and 3","2 and 3",0,"In India any citizen can become the Head of State (unlike USA). Citizenship can be cancelled if obtained by fraud. Only Statement 1 (single citizenship and domicile) is correct."
"Consider the following statements about election rules: 1. In India, there is no law restricting the candidates from contesting in one Lok Sabha election from three constituencies. 2. In 1991 Lok Sabha Election, Shri Devi Lal contested from three Lok Sabha constituencies. 3. As per the existing rules, if a candidate contests one Lok Sabha election from many constituencies, his/her party should bear the cost of bye-elections to the constituencies vacated. Which of the statements given above is/are correct?","1 only","2 only","1 and 3","2 and 3",1,"As per the Representation of People's Act 1996, one candidate can contest from a maximum of two constituencies (not three), so Statement 1 is incorrect. Statement 3 is a suggested reform, not an existing rule. In the 1991 Lok Sabha Election, Shri Devi Lal contested from three constituencies — this is factual and correct."
"Consider the following statements about Contempt of Court: 1. Pursuant to the report of H.N. Sanyal Committee, the Contempt of Courts Act, 1971 was passed. 2. The Constitution of India empowers the Supreme Court and the High Courts to punish for contempt of themselves. 3. The Constitution of India defines Civil Contempt and Criminal Contempt. 4. In India, the Parliament is vested with the powers to make laws on Contempt of Court. Which of the statements given above are correct?","1 and 2 only","1, 2 and 4","3 and 4 only","3 only",1,"Statement 3 is wrong — it is the Contempt of Courts Act, 1971 (not the Constitution) that defines Civil and Criminal Contempt. Statements 1, 2, and 4 are correct."
"Consider the following statements about Constitution Amendment Bills: 1. A bill amending the Constitution requires a prior recommendation of the President of India. 2. When a Constitution Amendment Bill is presented to the President of India, it is obligatory for the President of India to give his/her assent. 3. A Constitution Amendment Bill must be passed by both the Lok Sabha and the Rajya Sabha by a special majority and there is no provision for joint sitting. Which of the statements given above are correct?","1 and 2 only","2 and 3 only","1 and 3 only","1, 2 and 3",1,"Statement 1 is wrong — Constitution Amendment Bills do not require President's recommendation. Statements 2 and 3 are correct as per Article 368."
"Consider the following statements about Council of Ministers: 1. The Constitution of India classifies the ministers into four ranks viz. Cabinet Minister, Minister of State with Independent Charge, Minister of State and Deputy Minister. 2. The total number of ministers in the Union Government including the Prime Minister shall not exceed 15 percent of the total number of members in the Lok Sabha. Which of the statements given above is/are correct?","1 only","2 only","Both 1 and 2","Neither 1 nor 2",1,"Statement 1 is wrong — Article 74 mentions the Council of Ministers with PM at the helm, but different types of ministers are not classified in the Constitution. Statement 2 is correct as per the 91st Amendment."
"Consider the following organizations/bodies in India: 1. The National Commission for Backward Classes 2. The National Human Rights Commission 3. The National Law Commission 4. The National Consumer Disputes Redressal Commission. How many of the above are constitutional bodies?","Only one","Only two","Only three","All four",0,"NCBC is a constitutional body. NHRC is a statutory body. National Law Commission is an executive body. National Consumer Disputes Redressal Commission is a statutory body. Therefore, only 1 is a constitutional body."
"Consider the following statements about constitutional provisions: 1. According to the Constitution of India, the Central Government has a duty to protect States from internal disturbances. 2. The Constitution of India exempts the States from providing legal counsel to person being held for preventive detention under the Prevention of Terrorism Act, 2002. 3. According to the Prevention of Terrorism Act, 2002, confession of the accused before the police cannot be used as evidence. How many of the above statements are correct?","Only one","Only two","All three","None",0,"Statement 1 is correct (Article 355). Statement 2 is incorrect — no such provision exists in the Constitution. Statement 3 is incorrect — Section 32 of POTA 2002 allows confession before police as evidence. Only one statement is correct."
"Which one of the following statements best reflects the Chief purpose of the 'Constitution' of a country?","It determines the objective for the making of necessary laws","It enables the creation of political offices and a government","It defines and limits the powers of government","It secures social justice, social equality and social security",2,"A constitution is a set of fundamental principles or established precedents according to which a state is governed. It defines and limits the powers of government."
"Consider the following statements about the Presidency of India: 1. If the election of the President of India is declared void by the Supreme Court, all acts done by him/her in performance of duties before the date of decision becomes invalid. 2. Election for the post of the President of India can be postponed on the ground that some Legislative Assemblies have been dissolved and elections are yet to take place. 3. When a Bill is presented to the President of India, the Constitution prescribes time limits within which he/she has to declare his/her assent. How many of the above statements are correct?","Only one","Only two","All three","None",3,"Statement 1 is wrong (Article 71 — acts are not invalidated). Statement 2 is wrong (no provision for postponement due to dissolved assemblies). Statement 3 is wrong (Constitution prescribes no time limits for assent). All three are wrong."
"With reference to Finance Bill and Money Bill in the Indian Parliament, consider the following statements: 1. When the Lok Sabha transmits Finance Bill to the Rajya Sabha, it cannot amend or reject the Bill. 2. When the Lok Sabha transmits Money Bill to the Rajya Sabha, it cannot amend or reject the Bill, it can only make recommendations. 3. In the case of disagreement between the Lok Sabha and the Rajya Sabha, there is no joint sitting for Money Bill, but a joint sitting becomes necessary for Finance Bill. How many of the above statements are correct?","Only one","Only two","All three","None",0,"Finance Bill is a Money Bill — Rajya Sabha cannot reject it but can make recommendations. Statement 1 is wrong (Rajya Sabha can make recommendations). Statement 2 is right. There is no joint sitting provision for Money Bill. Statement 3 is wrong. Only one statement (2) is correct."
"Consider the following statements in respect of election to the President of India: 1. The members nominated to either House of the Parliament or the Legislative Assemblies of States are also eligible to be included in the Electoral College. 2. Higher the number of Elective Assembly seats, higher is the value of vote of each MLA of that State. 3. The value of vote of each MLA of Madhya Pradesh is greater than that of Kerala. 4. The value of vote of each MLA of Puducherry is higher than that of Arunachal Pradesh because the ratio of total population to total number of elective seats in Puducherry is greater as compared to Arunachal Pradesh. How many of the above statements are correct?","Only one","Only two","Only three","All four",0,"Only Statement 4 is correct. Nominated members are not eligible for Electoral College. MLA vote value is not directly proportional to number of seats. Kerala's MLA vote value is greater than Madhya Pradesh's."
"In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of Fundamental Rights?","1st Amendment","42nd Amendment","44th Amendment","86th Amendment",1,"The 42nd Amendment gave powers to Parliament to impose more restrictions on fundamental rights and is more widely associated with overcoming judicial interpretations of Fundamental Rights."
"Consider the following statements in respect of the Constitution Day: Statement-I: The Constitution Day is celebrated on 26th November every year to promote constitutional values among citizens. Statement-II: On 26th November, 1949, the Constituent Assembly of India set up a Drafting Committee under the Chairmanship of Dr. B.R. Ambedkar to prepare a Draft Constitution of India. Which one of the following is correct?","Both Statement-I and Statement-II are correct and Statement-II is the correct explanation for Statement-I","Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I","Statement-I is correct but Statement-II is incorrect","Statement-I is incorrect but Statement-II is correct",0,"Both statements are correct and Statement-II is the correct explanation for Statement-I. Constitution Day is celebrated on 26th November to promote constitutional values. On 26th November 1949, the Constituent Assembly adopted the Draft Constitution prepared under Dr. B.R. Ambedkar's chairmanship."
